soldprice,size,monthly_fee,agent,municipality,municipality_tax_rate,Number of rooms,House type,Asking price,Balcony,Construction year,Operating cost,Letting form,Floor Number,Lift Availability,year
1600000,25.0,1713.0,Erik,Göteborgs kommun,21.12,1.0,Apartment,1495000.0,0.0,1950.0,3620.0,Right of residence,2.0,0.0,2021
1550000,22.0,1340.0,Fastighetsbyrån,Göteborgs kommun,21.12,1.0,Apartment,1550000.0,0.0,1931.0,4400.0,Right of residence,1.0,0.0,2021
2500000,23.0,1728.0,Erik,Göteborgs kommun,21.12,1.0,Apartment,2390000.0,0.0,2018.0,3200.0,Right of residence,1.0,1.0,2021
2600000,24.8,1791.0,HusmanHagberg,Göteborgs kommun,21.12,1.0,Apartment,2600000.0,0.0,2018.0,1568.0,Right of residence,3.0,0.0,2021
140000,25.0,1453.0,Broberg,Skara kommun,21.5,1.0,Apartment,175000.0,0.0,1959.0,2700.0,Right of residence,2.0,0.0,2021
1845000,21.0,1083.0,Erik,Göteborgs kommun,21.12,1.0,Apartment,1480000.0,0.0,1988.0,3620.0,Right of residence,2.0,1.0,2021
1950000,23.0,1559.0,Bjurfors,Göteborgs kommun,21.12,1.0,Apartment,1800000.0,0.0,1955.0,3408.0,Right of residence,1.0,0.0,2021
1900000,21.0,1386.0,Bjurfors,Göteborgs kommun,21.12,1.0,Apartment,1800000.0,1.0,1936.0,4992.0,Right of residence,2.0,1.0,2021
1100000,22.2,808.0,Svensk,Ale kommun,21.87,1.0,Apartment,995000.0,0.0,1961.0,2400.0,Right of residence,3.0,0.0,2021
1510000,23.0,2157.0,HusmanHagberg,Mölndals kommun,20.51,1.0,Apartment,1495000.0,1.0,1955.0,2832.0,Right of residence,1.0,0.0,2021
1500000,22.0,2005.0,Bjurfors,Göteborgs kommun,21.12,1.0,Apartment,1495000.0,0.0,1947.0,1080.0,Right of residence,3.0,0.0,2021
2350000,24.2,1617.0,Bjurfors,Göteborgs kommun,21.12,1.0,Apartment,1990000.0,0.0,1892.0,4400.0,Right of residence,4.0,1.0,2021
2325000,25.0,1466.0,Fastighetsbyrån,Göteborgs kommun,21.12,1.0,Apartment,2090000.0,0.0,1936.0,2328.0,Right of residence,2.0,0.0,2021
1720000,25.0,2078.0,Svensk,Göteborgs kommun,21.12,1.0,Apartment,1995000.0,0.0,1957.0,4400.0,Right of residence,2.0,0.0,2020
45000,23.5,1979.0,Svensk,Tidaholms kommun,22.07,1.0,Apartment,65000.0,1.0,1959.0,1200.0,Right of residence,1.0,1.0,2020
1450000,22.0,1843.0,Fastighetsbyrån,Alingsås kommun,21.36,1.0,Apartment,1995000.0,0.0,2019.0,2400.0,Right of residence,2.0,1.0,2020
1350000,23.5,1066.0,CHRISTANDER,Mölndals kommun,20.51,1.0,Apartment,1250000.0,1.0,1964.0,6684.0,Right of residence,3.0,0.0,2020
1320000,24.0,1641.0,Lundin,Göteborgs kommun,21.12,1.0,Apartment,1295000.0,0.0,1961.0,4200.0,Right of residence,3.0,1.0,2020
1975000,24.0,1663.0,Bjurfors,Göteborgs kommun,21.12,1.0,Apartment,1995000.0,0.0,1967.0,4400.0,Right of residence,4.0,0.0,2020
1200000,25.0,3132.0,Bratting,Skövde kommun,21.61,1.5,Villa,1395000.0,0.0,1940.0,5255.0,Right of ownership,2.0,0.0,2020
1900000,23.0,1456.0,Länsförsäkringar,Göteborgs kommun,21.12,1.0,Apartment,1745000.0,0.0,1961.0,2760.0,Right of residence,1.0,0.0,2020
