address,house_type,solddate,soldprice,asking_price,size,monthly_fee,agent,municipality,year,month
26574,1,2013-10-21,750000.0,780000.0,154.0,3300000.0,22,41,0,9
2507,1,2013-10-25,2800000.0,2714166.6666666665,150.0,3300000.0,22,18,0,9
46495,1,2013-10-31,3400000.0,3128000.0,152.0,3300000.0,22,26,0,9
40507,1,2013-03-11,1800000.0,1980000.0,151.0,3300000.0,22,45,0,2
33829,1,2013-07-10,1525000.0,1494500.0,150.0,3300000.0,22,23,0,6
5177,1,2013-05-11,2150000.0,2451000.0,155.0,3300000.0,22,15,0,4
22917,2,2013-09-16,2800000.0,2436000.0,151.0,3725000.0,22,11,0,8
46199,1,2013-12-09,330000.0,382800.0,153.0,3300000.0,22,34,0,11
38153,1,2013-06-13,1400000.0,4108500.0,151.0,3300000.0,22,20,0,5
36374,1,2013-06-13,4300000.0,4257000.0,155.0,3300000.0,22,15,0,5
6265,1,2013-06-14,3300000.0,2706000.0,155.0,3300000.0,22,26,0,5
46440,1,2013-06-14,4200000.0,4410000.0,155.0,3300000.0,22,32,0,5
36192,1,2013-06-18,1800000.0,1854000.0,155.0,3300000.0,22,9,0,5
20453,1,2013-06-25,1995000.0,2205400.0,153.0,3300000.0,22,46,0,5
26333,1,2013-03-07,2720000.0,2556800.0,151.0,3300000.0,22,1,0,2
47790,1,2013-05-08,1100000.0,1542875.0,150.0,3300000.0,22,25,0,4
29329,1,2013-09-08,3425000.0,3356500.0,155.0,3300000.0,22,27,0,8
40150,1,2013-12-09,3990000.0,1874900.0,151.0,3300000.0,22,11,0,11
20415,1,2013-08-16,1350000.0,1485000.0,152.0,3300000.0,22,46,0,7
25156,1,2013-08-20,1495000.0,1613425.0,150.0,3300000.0,22,20,0,7
40332,1,2013-08-20,1620000.0,1587600.0,153.0,3300000.0,22,42,0,7
5211,1,2013-08-23,2350000.0,2585000.0,155.0,3300000.0,22,1,0,7
12316,1,2013-08-23,1475000.0,1209500.0,154.0,3300000.0,14,4,0,7
32581,1,2013-08-27,1995000.0,1732650.0,150.0,3300000.0,22,18,0,7
4554,1,2013-08-28,2725000.0,2888500.0,152.0,3300000.0,22,23,0,7
35989,1,2013-08-30,1000000.0,1050000.0,150.0,3300000.0,22,43,0,7
22246,1,2013-05-09,1930000.0,2084400.0,150.0,3300000.0,22,31,0,4
8427,1,2013-10-09,3350000.0,3484000.0,155.0,3300000.0,22,11,0,9
37422,2,2013-08-19,1975000.0,1639250.0,152.0,3725000.0,22,40,0,7
33389,1,2013-10-11,1740000.0,1531200.0,154.0,3300000.0,22,43,0,9
41207,1,2013-11-15,3400000.0,3502000.0,153.0,3300000.0,22,32,0,10
11347,1,2013-11-29,2600000.0,2821000.0,152.0,3300000.0,22,30,0,10
9675,0,2013-10-07,820000.0,508400.0,27.5,1647.0,6,17,0,9
2302,0,2013-07-15,860000.0,782600.0,30.0,1632.0,22,11,0,6
47724,0,2013-07-22,171000.0,107730.0,28.0,1723.0,22,42,0,6
20745,0,2013-07-24,1100000.0,847000.0,29.0,1397.0,22,26,0,6
48145,0,2013-07-08,1010000.0,848400.0,27.6,2134.0,22,11,0,6
9420,0,2013-12-08,270000.0,105300.0,29.0,1864.0,14,4,0,11
33767,0,2013-08-14,900000.0,837000.0,28.5,2054.0,22,11,0,7
44328,0,2013-08-14,1270000.0,927100.0,28.4,2383.0,39,11,0,7
23974,0,2013-08-16,140000.0,903475.0,26.5,1635.0,22,4,0,7
35257,0,2013-08-07,510000.0,453900.0,26.0,2057.0,22,0,0,7
4016,0,2013-08-21,1175000.0,928250.0,25.4,2192.0,39,11,0,7
28115,0,2013-09-22,1360000.0,1292000.0,30.0,2110.0,39,11,0,8
31652,0,2013-09-25,305000.0,79300.0,29.5,1425.0,22,40,0,8
14015,0,2013-09-25,790000.0,679400.0,25.5,1513.0,22,26,0,8
13817,0,2013-09-30,730000.0,540200.0,28.0,2136.0,22,18,0,8
33771,0,2013-03-10,860000.0,791200.0,28.0,1797.0,22,11,0,2
6728,0,2013-10-10,1200000.0,924000.0,28.5,1774.0,22,11,0,9
10174,0,2013-10-28,995000.0,115275.0,29.0,2307.0,37,26,0,9
37584,0,2013-11-13,450000.0,88425.0,26.5,1152.0,22,11,0,10
46015,0,2013-11-15,100000.0,75000.0,28.0,1385.0,22,19,0,10
41832,0,2013-11-09,230000.0,248400.0,25.4,1296.0,22,4,0,10
2391,1,2013-03-07,635000.0,692150.0,30.0,3300000.0,22,18,0,2
5272,1,2013-06-28,395000.0,1143166.6666666667,28.0,3300000.0,22,0,0,5
43959,0,2013-05-30,1310000.0,1244500.0,28.5,1924.0,39,11,0,4
22457,1,2013-05-12,3750000.0,2915000.0,150.0,3300000.0,22,26,0,4
7996,2,2013-05-12,2950000.0,3009000.0,154.0,6382.0,43,26,0,4
281,1,2013-10-12,3650000.0,3759500.0,150.0,3300000.0,22,15,0,9
604,1,2013-11-12,2750000.0,2832500.0,150.0,3300000.0,43,4,0,10
1390,1,2013-11-12,4850000.0,5432000.0,154.0,3300000.0,22,11,0,10
7380,1,2013-12-16,1350000.0,1282500.0,155.0,3300000.0,22,36,0,11
28778,1,2013-12-20,2495000.0,1444500.0,150.0,3300000.0,22,18,0,11
33851,1,2013-12-27,1375000.0,1485000.0,154.0,3300000.0,22,22,0,11
35794,1,2013-12-27,2400000.0,2304000.0,154.0,3300000.0,22,40,0,11
40330,1,2013-12-31,1625000.0,2140125.0,150.0,3300000.0,10,42,0,11
22593,1,2013-08-28,2920000.0,2803200.0,155.0,3300000.0,14,4,0,7
40467,0,2013-11-01,310000.0,269700.0,28.0,1454.0,22,0,0,10
37594,0,2013-01-15,460000.0,427800.0,26.5,1152.0,22,11,0,0
15503,0,2013-01-31,170000.0,183600.0,27.5,1701.0,22,40,0,0
7132,0,2013-02-13,800000.0,680000.0,26.8,1825.0,22,11,0,1
16649,0,2013-11-03,85000.0,25500.0,29.3,1464.0,22,29,0,10
29582,0,2013-03-19,325000.0,273000.0,29.0,1813.0,36,40,0,2
42762,0,2013-03-21,280000.0,226800.0,27.3,1711.0,22,4,0,2
28177,0,2013-08-04,1400000.0,680700.0,30.0,2456.0,37,11,0,7
16648,0,2013-04-30,45000.0,821650.0,26.4,1405.0,22,29,0,3
47631,0,2013-05-21,70000.0,962600.0,29.0,2244.0,22,19,0,4
46243,1,2013-08-06,2000000.0,2848650.0,153.0,3300000.0,22,4,0,7
14139,1,2013-09-12,5850000.0,6084000.0,197.0,3300000.0,22,11,0,8
40571,1,2013-07-06,5700000.0,5358000.0,154.0,3300000.0,22,11,0,6
6451,1,2013-06-06,3400000.0,4572666.666666667,150.0,3300000.0,22,26,0,5
